,Business Acumen,Interpersonal Sensitivity,Problem Solving and Decision Making,Comm Skills,Corporate Steward,Relevant Professional Understanding,Proficiency in the use of System and Tools,Data Management,People Devt,Strategic Management,Employee ID
346,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 127
74,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 352
91,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 352
92,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,Employee 149
93,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 443
94,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 413
95,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 399
96,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 343
97,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,Employee 322
652,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,Employee 322
98,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 216
99,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 179
100,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 174
101,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 158
102,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 147
