Employee ID,Business Acumen,Interpersonal Sensitivity,Professional Ethics,Problem Solving and Decision Making,Communication Skills,Corporate Steward,Relevant Professional Understanding,Computer Proficiency,Proficiency in the use of System and Tools,Data Management,People Development,Strategic Management
Employee 155,2,2,4,2,3,1,2,2,3,2,3,2
Employee 242,2,2,2,2,2,2,2,2,2,2,2,2
Employee 316,3,3,4,2,3,3,3,3,3,3,2,3
Employee 23,2,2,2,2,2,1,2,2,2,1,2,2
Employee 36,2,2,2,2,3,2,2,2,2,2,2,2
Employee 55,2,2,4,2,3,2,2,3,3,2,2,2
Employee 418,2,2,2,2,3,2,2,1,2,2,2,2
Employee 347,2,3,4,2,3,3,2,3,3,2,3,2
Employee 323,1,2,2,2,2,1,2,4,3,1,2,2
Employee 325,3,3,4,4,4,4,2,2,3,2,3,3
Employee 682,1,2,2,2,2,1,1,2,2,2,2,2
Employee 377,2,2,4,2,3,3,2,2,2,2,2,2
Employee 72,3,2,4,3,3,3,2,3,3,2,3,2
Employee 212,1,2,4,2,1,2,2,2,2,2,2,2
Employee 462,2,2,2,3,2,1,1,1,1,2,2,2
Employee 372,2,2,2,1,1,2,2,1,1,1,2,2
Employee 683,2,2,2,2,3,3,4,2,1,2,3,2
Employee 218,3,3,2,3,2,2,2,2,3,3,2,3
Employee 311,2,3,4,3,3,2,2,4,4,4,3,3
Employee 127,2,2,2,2,2,2,2,2,2,2,2,2
Employee 459,2,2,2,2,2,1,2,1,1,1,2,2
Employee 452,2,2,4,3,2,2,2,3,2,2,2,2
Employee 451,2,2,2,1,2,2,1,2,1,1,2,2
Employee 463,2,4,2,2,2,3,2,1,1,1,4,3
Employee 460,3,3,4,3,3,3,3,3,3,3,4,4
Employee 401,1,2,2,2,1,1,1,1,1,1,2,2
Employee 243,1,1,4,2,2,3,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Employee 443,4,3,4,3,4,4,3,3,3,3,3,3
Employee 417,2,3,4,3,3,2,2,3,2,2,2,2
Employee 12,2,2,2,2,2,2,2,2,1,2,3,2
Employee 84,2,2,4,3,3,3,2,2,2,2,3,3
Employee 404,2,1,2,2,2,2,1,2,1,1,3,2
Employee 458,2,2,4,3,4,4,4,2,3,3,2,4
Employee 432,3,3,4,3,3,3,3,3,4,3,4,4
Employee 105,2,2,4,1,2,2,2,2,1,2,2,2
Employee 364,3,2,2,3,2,2,2,3,2,3,4,4
Employee 363,2,2,2,2,3,3,3,3,3,3,2,2
Employee 18,2,2,4,2,3,2,1,2,1,1,2,2
Employee 228,3,4,4,3,3,3,3,3,3,3,2,3
Employee 140,1,2,2,2,3,2,2,2,2,2,2,2
Employee 21,2,2,4,3,3,2,2,2,3,2,2,2
Employee 159,3,4,4,3,3,4,4,3,3,3,4,4
Employee 16,1,1,2,1,1,1,1,1,1,1,2,2
Employee 194,2,2,4,2,2,2,2,3,2,2,3,2
Employee 186,2,2,2,2,2,2,2,2,2,2,2,2
Employee 265,2,2,2,2,2,2,2,1,1,2,2,2
Employee 411,1,1,2,1,2,1,1,1,1,1,2,2
Employee 313,2,1,2,4,2,4,2,3,2,1,3,4
Employee 412,3,4,4,3,3,4,3,3,3,4,4,3
Employee 184,2,2,2,2,1,1,1,3,2,2,2,2
Employee 93,3,3,4,3,2,2,2,3,2,2,2,3
Employee 98,3,3,4,3,3,2,2,3,2,2,2,2
Employee 165,3,1,2,2,3,2,2,1,3,4,2,4
Employee 174,3,3,4,3,2,3,3,3,2,3,3,2
Employee 431,2,3,4,2,3,2,2,2,2,2,2,2
Employee 137,2,2,2,3,2,2,2,2,2,2,2,2
Employee 397,2,3,2,2,2,2,2,3,2,2,2,2
Employee 396,2,3,2,3,2,2,2,3,2,3,2,2
Employee 190,1,2,4,2,2,2,2,1,2,2,3,2
Employee 83,3,4,4,3,2,3,2,2,2,1,2,2
Employee 146,2,3,2,2,2,2,2,2,2,2,3,2
Employee 415,2,3,2,2,3,3,2,2,3,3,3,2
Employee 592,4,4,4,4,3,3,3,3,3,3,3,3
Employee 17,2,2,2,3,3,3,2,2,3,3,3,2
Employee 199,3,3,4,3,3,2,2,2,3,4,4,3
Employee 130,2,3,2,1,2,3,1,2,1,1,2,2
